Dataset,Indicators,Description,Description Simplified,Geographic Coverage,Format,Spatial Resolution,Spatial Resolution (Standard),Temporal Resolution,Temporal Extent,Latency,Source/Link,Project,Strengths,Limitations,Data Visualization,Intended Use,Tab Name Indicator,Indicators                     (Select from drop-down list),sde_link
"ABoVE: Landsat-derived Burn Scar dNBR across Alaska and Canada, 1985-2015",Disasters,This dataset contains differenced Normalized Burned Ratio (dNBR) at 30-m resolution calculated for burn scars from fires that occurred within the Arctic Boreal and Vulnerability Experiment (ABoVE) Project domain in Alaska and Canada during 1985-2015. The fire perimeters were obtained from the Alaskan Interagency Coordination Center (AICC) and the Natural Resources Canada (NRC) fire occurrence datasets. Only burns with an area larger than 200-ha were included.,"The ABoVE: Landsat-derived Burn Scar dNBR across Alaska and Canada, 1985-2015 dataset includes differenced Normalized Burned Ratio (dNBR) data for burn scars from fires within the Arctic Boreal and Vulnerability Experiment (ABoVE) Project in Alaska and Canada 1985-2015. These data may be useful in fire disaster research.","Alaska, Canada",GeoTIFF,30 meters,30 meters,,1985-01-01 to 2015-12-31,,https://dx.doi.org/10.3334/ORNLDAAC/1564,ABoVE - Arctic-Boreal Vulnerability Experiment,30-year temporal extent,Lacks recent data,,Path C,Disasters,Disasters,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2111787144-ORNL_CLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
AERONET Ground-based AOD Measurements,Health & Air Quality,"The AERONET Data Display Interface allows users to find and download ground-based AOD (Aerosol Optical Depth, quantity of light removed from a beam by scattering or absorbing during its path through a medium and is a unitless measure) data for locations all across the world. Data are available from years 1993-2022, dependent on location.","The AERONET Data Display Interface allows users to find and download ground-based AOD (Aerosol Optical Depth, quantity of light removed from a beam by scattering or absorbing during its path through a medium and is a unitless measure) data for locations all across the world. Data are available from years 1993-2022, dependent on location.",Global,,,,,1993-01-01 to Present,NRT,https://aeronet.gsfc.nasa.gov/cgi-bin/draw_map_display_aod_v3,AERONET - Aerosol Robotic Network,"NRT, 19-year temporal extent",,Map Viewer,Path C,Health & Air Quality,Health & Air Quality,
ARIA (Advanced Rapid Imaging and Analysis) DPM (Damage Proxy Map) Puerto Rico,"Disasters,Urban Flooding","The Advanced Rapid Imaging and Analysis (ARIA) team at NASA's Jet Propulsion Laboratory in Pasadena, California, and Caltech, also in Pasadena, created this Damage Proxy Map (DPM) depicting areas of Eastern Puerto Rico that are likely damaged (shown by red and yellow pixels) as a result of Hurricane Maria (Category 4 at landfall in Puerto Rico on Sept. 20, 2017). The map is derived from synthetic aperture radar (SAR) images from the Copernicus Sentinel-1A and Sentinel-1B satellites, operated by the European Space Agency (ESA). The images were taken before (Mar. 25, 2017) and after (Sept. 21, 2017) the landfall of the storm.",The ARIA (Advanced Rapid Imaging and Analysis) DPM (Damage Proxy Map) Puerto Rico dataset shows areas of Eastern Puerto Rico that are likely to be damaged as a result of Hurricane Maria.,Puerto Rico,KML,30 meters,30 meters,,"2017-03-25, 2017-09-21",,https://appliedsciences.nasa.gov/our-impact/news/aria-damage-proxy-map-puerto-rico-after-hurricane-maria https://ghis.maps.arcgis.com/home/item.html?id=1ce3ccaacc6c4cd7b3b6cef4ea4980aa,,Visualization available through ArcGIS viewer,Data only available for case study of Puerto Rico (2017),ArcGIS viewer,Path B,Urban Flooding,Disasters,
ARIA (Advanced Rapid Imaging and Analysis) Data Products - a list of data products -> need to pick one,Disasters,"The ARIA Project, a joint effort of the California Institute of Technology and NASA's Jet Propulsion Laboratory, is developing the infrastructure to generate imaging products in near real-time that can improve situational awareness for disaster response.","The ARIA Project, a joint effort of the California Institute of Technology and NASA's Jet Propulsion Laboratory, is developing the infrastructure to generate imaging products in near real-time that can improve situational awareness for disaster response. These data can aid in natural disaster research.",Global,"GeoTIFF, KMZ",Varies,Varies,Varies,Varies,NRT,https://aria-share.jpl.nasa.gov/,ARIA - Advanced Rapid Imaging and Analysis,NRT,No visualization available,,Path C,Disasters,Disasters,
ASTER L2 Surface Temperature V003,"Climate Change,Extreme Heat","The ASTER Surface Kinetic Temperature (AST_08) is generated using the five Thermal Infrared (TIR) bands (acquired either during the day or night time) between 8 and 12 µm spectral range. It contains surface temperatures at 90 m spatial resolution for the land areas only. Surface kinetic temperature provides a vital input to studies of volcanism, thermal inertia, surface energy, and high-resolution mapping of fires.","The ASTER Surface Kinetic Temperature (AST_08) is generated using the five Thermal Infrared (TIR) bands (acquired either during the day or night time) between 8 and 12 µm spectral range. Surface kinetic temperature provides a vital input to studies of volcanism, thermal inertia, surface energy, and high-resolution mapping of fires.",Global,HDF-EOS2,90 m,90 meters,,2000-03-04 to Present,,https://dx.doi.org/10.5067/ASTER/AST_08.003,"Terra - Earth Observing System (EOS), Terra",22-year temporal extent,Only HDF-EOS2 format available,,Path C,Climate Change,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1299783630-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Annual PM2.5 Concentrations for Countries and Urban Areas, v1 (1998 – 2016)",Health & Air Quality,"The Annual PM2.5 Concentrations for Countries and Urban Areas, 1998-2016, consists of mean concentrations of particulate matter (PM2.5) for countries and urban areas. The PM2.5 data are from the Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) with GWR, 1998-2016. The urban areas are from the Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Urban Extent Polygons, Revision 02, and its time series runs from 1998 to 2016. The country averages are population-weighted such that concentrations in populated areas count more toward the country average than concentrations in less populated areas, and its time series runs from 2008 to 2015.",The Annual PM2.5 Concentrations for Countries and Urban Areas dataset provides air quality data for mineral dust and sea-salt filtered fine particulate matter of 2.5 micrometers or smaller (PM2.5) in countries and urban areas for environmental health research.,Global,"Shapefile, Excel",0.1 degrees,10 kilometers,,1998-01-01 to 2016-12-31,,https://doi.org/10.7927/rja8-8h89,SDEI - Satellite-Derived Environmental Indicators,11-year temporal extent,Data only available in GeoTIFF,SEDAC Map widget,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2038014399-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Aqua/AIRS L2 Near Real Time (NRT) Support Retrieval (AIRS-only) V7.0,Health & Air Quality,"The Atmospheric Infrared Sounder (AIRS) Level 2 Near Real Time (NRT) Support Retrieval (AIRS-only) product (AIRS2SUP_NRT_7.0) differs from the routine product (AIRS2SUP_7.0) in four ways to meet the three hour latency requirements of the Land Atmosphere NRT Capability Earth Observing System (LANCE): (1) The NRT granules are produced without previous or subsequent granules if those granules are not available within 5 minutes, (2) the predictive ephemeris/attitude data are used rather than the definitive ephemeris/attitude, (3) if the forecast surface pressure is unavailable, a surface climatology is used, and (4) no ice cloud properties retrievals are performed.","The AIRS Dust Score indicates the level of atmospheric aerosols in the Earth’s atmosphere over the ocean. The numerical scale is a qualitative representation of the presence of dust in the atmosphere, an indication of where large dust storms may form and the areas that may be affected.",Global,HDF-EOS,50 km x 50 km,50 kilometers,1 minute - < 1 hour,2002-08-20 ongoing,NRT,https://doi.org/10.5067/MOQOVNHNERGG,"LANCE - Land, Atmosphere Near real-time Capability for EOS",High temporal resolution,,Worldview,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1701805636-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
ArcGIS Global Air Quality Story Map,Health & Air Quality,NASA's Socioeconomic Data and Applications Center (SEDAC) offers global annual gridded PM 2.5 data for various years. This data was aggregated to common global boundaries in order to help us see what air quality is like around the world.,NASA's Socioeconomic Data and Applications Center (SEDAC) offers global annual gridded PM 2.5 data for various years. This data was aggregated to common global boundaries in order to help us see what air quality is like around the world.,Global,Shapefile,,,,,,https://storymaps.arcgis.com/stories/a3d0b0835b9e45b69f55e5ce94d84ddf,,Interactive with data download available,,,Path A,Health & Air Quality,Health & Air Quality,
"Country-Level GDP and Downscaled Projections Based on the SRES A1, A2, B1, and B2 Marker Scenarios, v1 (1990 – 2100)",Human Dimensions,"The Country-Level GDP and Downscaled Projections Based on the Special Report on Emissions Scenarios (SRES) A1, A2, B1, and B2 marker scenarios, 1990-2100, were developed using the 1990 base year GDP (Gross Domestic Product) from national accounts database available from the UN Statistics Division. SRES regional GDP growth rates were calculated from 1990 to 2100 based on the SRES marker model regional data and applied uniformly to each country that fell within the SRES-defined regions. This data set is produced and distributed by the Columbia University Center for International Earth Science Information Network (CIESIN).","The Country-Level GDP and Downscaled Projections Based on the SRES A1, A2, B1, and B2 Marker Scenarios, v1 (1990 – 2100) dataset provides economic (GDP) data based on different emissions scenarios related to climate change mitigation.",Global,Excel,,,,1990-01-01 to 2100-12-31,,https://doi.org/10.7927/H4XW4GQ1,SDP - Socioeconomic Downscaled Projections,Global coverage,Projections based on original publishing date,,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001917-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Daily 8-Hour Maximum and Annual O3 Concentrations for the Contiguous United States, 1-km Grids, v1 (2000 – 2016)",Health & Air Quality,"The Daily 8-Hour Maximum and Annual O3 Concentrations for the Contiguous United States, 1-km Grids, v1 (2000 - 2016) data set contains estimates of ozone concentrations at a high resolution in space (1 km x 1 km grid cells) and time (daily) for the years 2000 to 2016. These predictions incorporated various predictor variables such as Ozone (O3) ground measurements from the U.S. Environmental Protection Agency (EPA) Air Quality System (AQS) monitoring data, land-use variables, meteorological variables, chemical transport models and remote sensing data, along with other data sources. After imputing missing data with machine learning algorithms, a geographically weighted ensemble model was applied that combined estimates from three types of machine learners (neural network, random forest, and gradient boosting). The annual predictions were computed by averaging the daily 8-hour maximum predictions in each year for each grid cell. The results demonstrate high overall model performance with a cross-validated R-squared value against daily observations of 0.90 and 0.86 for annual averages.",The Daily 8-Hour Maximum and Annual O3 Concentrations for the Contiguous United States dataset provides ground-level Ozone (O3) concentration data in the United States. These data may be useful in public health research to respectively estimate short and long-term effects on human health and related research.,United States,"GeoTIFF, Shapefile",0.00833 degrees,1 kilometer,,2000-01-01 to 2016-12-31,,https://doi.org/10.7927/a4mb-4t86,AQDH - Air Quality Data for Health-Related Applications,16-year temporal extent,Lacks recent data,SEDAC Map widget,Path B,Health & Air Quality,Health & Air Quality,"https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2187535796-SEDAC&query=%7B%22name%22:%22query-smd-primary%22,%22scope%22:%22All%22,%22text%22:%22Daily%208-Hour%20Maximum%20and%20Annual%20O3%20Concentrations%20for%20the%20Contiguous%20United%20States,%201-km%20Grids,%20v1%20(2000%E2%80%8A%E2%80%93%E2%80%8A2016)%22%7D"
